title,box_off_num
용서는 없다,1445454.576991589
아빠가 여자를 좋아해,1249498.035502285
하모니,2069526.7303916477
의형제,1779904.1795186664
평행 이론,1286240.3933939994
회오리 바람,304848.0172758522
경계도시 2,314362.2456052995
이웃집 남자,186682.24343886986
아마존의 눈물 극장판,139550.22520771725
반가운 살인자,707493.8576809512
집 나온 남자들,666378.5622098587
베스트셀러,1056185.113827312
작은 연못,940951.2117669216
경,307355.307241617
대한민국 1%,1130565.331613549
포화 속으로,2289644.953359625
나쁜 놈이 더 잘 잔다,208463.5917668383
맨발의 꿈,1080115.156023729
요술,649614.7657389115
마법천자문: 대마왕의 부활을 막아라,494847.95972325007
인플루언스,206970.2239417633
미스터 좀비,322820.7092825075
김복남 살인사건의 전말,772630.7142563323
엄지아빠,512654.33202837314
탈주,259485.22594724092
해결사,2050150.7278771207
할,35023.42099510558
된장,1088725.528609097
조금만 더 가까이,332777.146651448
우리 만난 적 있나요,250416.49504647017
쩨쩨한 로맨스,1267374.7946514061
용서,133119.78085261185
브라보! 재즈 라이프,486022.48992954683
카페 느와르,2148466.5742347348
오래된 인력거,80131.23838638866
창피해,300972.41396402015
"양 한 마리, 양 두 마리",300352.05454596743
하얀 정글,140401.87179707355
다슬이,66077.0576789688
REC 알이씨,-182326.23969927372
량강도 아이들,300368.5089342286
티끌모아 로맨스,483012.47690980654
더 킥,543476.3347718768
커플즈,964028.3990187868
오늘,714118.9115770827
완득이,1331096.412416329
은어,344875.08724366286
고래를 찾는 자전거,277798.91886524647
도가니,835679.2294455213
겨울냄새,16959.422100048174
환타스틱 모던가야그머,27787.177137514886
블라인드,807719.1309703266
링크,373244.3917860069
퀵,1381777.1346324822
모비딕,1051854.2369186236
굿바이 보이,527480.9410383903
종로의 기적,534509.0512812681
회초리,859699.3262441406
체포왕,1720364.5707116488
세상에서 가장 아름다운 이별,1913638.2536056421
나는 아빠다,1123829.1533477455
수상한 고객들,1680856.6771417018
수상한 이웃들,544056.1313334954
돌아오는 길,278385.2937165424
우리 이웃의 범죄,644312.8972649896
엄마는 창녀다,34441.269170659354
위험한 상견례,1746352.9160277983
간증,280293.9402274619
"사랑한다, 사랑하지 않는다",733900.105974035
"혜화, 동",457370.64520941884
글러브,1996816.1998610043
가문의 귀환,1293891.1034473905
잔혹한 앵글의 로망스,-71847.03759687654
나의 PS 파트너,1049385.091049088
롤플레이,554723.2014156455
마티나,45679.616639308144
음치 클리닉,1200343.3649484671
남영동1985,424619.88953508245
돈 크라이 마미,440774.1324310607
반드시 크게 들을 것 2 : Wild Days,49866.08815509433
범죄소년,445251.62804697984
내가 살인범이다,1420623.427544845
터치,192780.76741893275
늑대소년,1839801.9436142081
맥코리아,57704.2768209157
용의자X,1469811.1282197498
하나안,39353.89072814275
투 올드 힙합 키드,254083.89874299025
한경직,60820.7251412127
미운오리새끼,473112.40127348265
황제펭귄 펭이와 솜이,187103.64363146856
두 개의 문,372701.1828447894
I AM,853447.8038773075
후궁 : 제왕의 첩,1373412.8344850566
"안녕, 하세요!",116652.22387691122
천국의 아이들,357403.6833054628
할머니는 일학년,199495.4313014018
두레소리,359368.0539376589
"봄, 눈",435367.0606818058
은교,950034.0607381965
간기남,1258619.3380838004
시체가 돌아왔다,1243449.5767772242
말하는 건축가,124804.6873460601
밀월도 가는 길,149210.05802997193
파파,1034477.9151115292
점박이:한반도의 공룡3D,358159.4273164181
댄싱퀸,2277647.632011646
누구의 딸도 아닌 해원,16799.285936269112
신세계,1953529.0464329727
굿바이 홈런,-16591.981488507863
불륜의 시대,143006.66809901086
남쪽으로 튀어,1590549.855745459
좋은 친구들,1436166.8005619494
지슬 - 끝나지 않은 세월 2,434344.77541522286
누구나 제 명에 죽고 싶다,21409.00143493709
사이코메트리,731799.3609670145
환상속의 그대,329032.2060608062
몽타주,1046994.5401787093
"힘내세요, 병헌씨",359658.12723602104
꼭두각시,221037.4760513799
홀리,368151.36140724743
마이 라띠마,800885.4277057014
더 테러 라이브,959606.0528046637
슈퍼피쉬 - 끝없는 여정,5732.238461259549
콩가네,383871.380237378
허풍,304523.7797460605
젊은 엄마,39290.80401408256
노라노,91579.60690880555
노브레싱,884687.8306547148
말하는 건축 시티:홀,205750.1724053253
댄서김의 은밀한 교수법,-81843.75353840338
소원,974673.2074148748
고양이 소녀,-23921.472498682433
롤플레이 2 : 동침,-120465.6521046863
동창생,2578536.458020784
용의자,2373480.1949275285
미녀전쟁,85389.09353878668
캐치미,1127969.563349257
그 강아지 그 고양이,532145.1758461053
화려한 외출,-54928.68450413172
오하이오 삿포로,-192173.0085638715
마이 리틀 히어로,1839127.4828557514
박수건달,2241029.9644128787
배꼽,337033.2816866604
나가요 미스콜,214193.86754734287
우아한 거짓말,1171437.433084951
미스터 컴퍼니,31484.538003486272
우리별 일호와 얼룩소,135850.84103056107
찌라시: 위험한 소문,1811449.798401411
조선미녀삼총사,1678068.964068306
만찬,869821.9048676603
한 번도 안 해본 여자,318809.0521651437
살인자,277784.461768012
  이것이 우리의 끝이다,416362.6362240238
그댄 나의 뱀파이어,409233.1932091685
황제를 위하여,1122254.9373534557
레디액션! 폭력영화,275812.6447142239
스퀴시랜드,325612.2173301238
우는 남자,2516116.1025652187
하이힐,1670365.1303196426
도희야,625036.8899822673
표적,2233902.493276105
10분,343458.12583369645
메이크 유어 무브,722728.6208686084
카토 프로젝트,-168340.3600577292
녀녀녀,132340.94656509018
방황하는 칼날,1848214.7080207455
바리새인,-41650.04781566927
욕망의 독: 중독,79378.39019863687
설계,200376.3507500327
레쓰링,270754.58054324373
원 컷 - 어느 친절한 살인자의 기록,30372.077246213536
픽업 아티스트,407079.01730706746
옹녀뎐,104130.78503589508
왓니껴,881533.1328120478
족구왕,589625.8025712074
내 연애의 기억,402801.1529256904
바세코의 아이들,-25720.440647978656
명량,4823970.247985907
군도: 민란의 시대,3885459.7731950083
산타바바라,686724.2579493512
나는 야한 여자가 좋다,-72947.35385779546
숙희,124181.20449629887
더 테너 리리코 스핀토,1357731.3901919564
기술자들,2599841.3179687667
신화 라이브 3D 더 레전드 컨티뉴스,234091.32379457282
악사들,246819.97251060445
울언니,245554.10432098317
정사: 위험한 성적유희,-129622.20062319846
레디액션 청춘,1468147.491760414
"제자, 옥한흠",128985.67371709214
환상,-80416.02964675502
위층여자,274643.32169050217
가자! 장미여관으로 3 - 방황,218194.5242694268
나는 야한 여자가 좋다 3,-72947.35385779546
스물,1782884.6759723807
그라운드의 이방인,351585.6764791718
살인의뢰,1475119.3026562307
살인캠프,122241.40900501935
헬머니,1464184.45252215
조류인간,473436.02768647653
최강전사 미니특공대 : 새로운 악당의 습격,-33233.59961598573
생각보다 맑은,64870.439490941004
고양이 장례식,448786.3756025464
설해,595406.5210813377
나의 절친 악당들,1071329.3465356098
연평해전,2068570.8808422994
극비수사,1614075.2383388595
