title,box_off_num
용서는 없다,2028304.63
아빠가 여자를 좋아해,1483804.991
하모니,1973458.555
의형제,1725342.665
평행 이론,1326275.065
회오리 바람,222474.8837
경계도시 2,136942.8478
이웃집 남자,141809.3409
아마존의 눈물 극장판,68888.55931
반가운 살인자,618344.1436
집 나온 남자들,457675.147
베스트셀러,1015438.979
작은 연못,651076.4753
경,120884.4933
대한민국 1%,877985.1152
포화 속으로,2762325.732
나쁜 놈이 더 잘 잔다,83985.76153
맨발의 꿈,1021796.643
요술,463977.19
마법천자문: 대마왕의 부활을 막아라,190475.9946
인플루언스,31044.03041
미스터 좀비,125008.3575
김복남 살인사건의 전말,692012.0022
엄지아빠,69302.00786
탈주,169223.8727
해결사,1627718.208
할,13736.29257
된장,940881.2435
조금만 더 가까이,252049.4462
우리 만난 적 있나요,215999.1565
쩨쩨한 로맨스,1632972.044
용서,139423.924
브라보! 재즈 라이프,204536.2823
카페 느와르,1391470.873
오래된 인력거,39110.08161
창피해,157757.2397
"양 한 마리, 양 두 마리",158174.5927
하얀 정글,47121.38031
다슬이,64446.63754
REC 알이씨,-84561.94295
량강도 아이들,205819.3358
티끌모아 로맨스,285459.242
더 킥,194905.2333
커플즈,641064.6064
오늘,737235.0958
완득이,1033213.75
은어,126550.1954
고래를 찾는 자전거,232690.2645
도가니,665953.8111
겨울냄새,193762.8094
환타스틱 모던가야그머,221381.8094
블라인드,1013632.096
링크,206645.6071
퀵,1633596.803
모비딕,896473.8341
굿바이 보이,372322.3914
종로의 기적,389812.8043
회초리,970476.657
체포왕,1943025.87
세상에서 가장 아름다운 이별,3017236.089
나는 아빠다,827526.8218
수상한 고객들,1749683.486
수상한 이웃들,252642.8351
돌아오는 길,107766.5806
우리 이웃의 범죄,346141.104
엄마는 창녀다,47200.35985
위험한 상견례,2090429.941
간증,157382.9026
"사랑한다, 사랑하지 않는다",529366.3102
"혜화, 동",331830.7182
글러브,2425203.15
가문의 귀환,1154578.605
잔혹한 앵글의 로망스,-75739.02069
나의 PS 파트너,982836.1545
롤플레이,181014.9302
마티나,30358.656
음치 클리닉,1505543.094
남영동1985,275117.2105
돈 크라이 마미,268533.9022
반드시 크게 들을 것 2 : Wild Days,43951.63547
범죄소년,292029.1647
내가 살인범이다,1889612.581
터치,168769.9447
늑대소년,2710882.974
맥코리아,-8596.107173
용의자X,1392641.987
하나안,18029.48628
투 올드 힙합 키드,99088.86598
한경직,38371.27697
미운오리새끼,287297.2343
황제펭귄 펭이와 솜이,102965.1079
두 개의 문,143292.3379
I AM,698301.252
후궁 : 제왕의 첩,2051778.721
"안녕, 하세요!",97964.51103
천국의 아이들,168748.5412
할머니는 일학년,128230.4333
두레소리,196349.5157
"봄, 눈",336284.5
은교,979702.1529
간기남,1616939.425
시체가 돌아왔다,1131662.342
말하는 건축가,58950.66357
밀월도 가는 길,87058.01694
파파,1237517.03
점박이:한반도의 공룡3D,269239.8025
댄싱퀸,2881602.468
누구의 딸도 아닌 해원,36979.73025
신세계,2376419.043
굿바이 홈런,-8598.075512
불륜의 시대,65559.18406
남쪽으로 튀어,1479347.544
좋은 친구들,1737767.448
지슬 - 끝나지 않은 세월 2,196390.4423
누구나 제 명에 죽고 싶다,49086.31707
사이코메트리,747636.765
환상속의 그대,215889.8746
몽타주,1124459.325
"힘내세요, 병헌씨",155063.4041
꼭두각시,93527.41512
홀리,158485.6901
마이 라띠마,546428.7852
더 테러 라이브,1191733.71
슈퍼피쉬 - 끝없는 여정,-10886.73555
