title,box_off_num
용서는 없다,2028304.6302146164
아빠가 여자를 좋아해,1483804.9912696306
하모니,1973458.555298305
의형제,1725342.6649547967
평행 이론,1326275.065327808
회오리 바람,222474.88366285304
경계도시 2,136942.84781404186
이웃집 남자,141809.34086806639
아마존의 눈물 극장판,68888.55930986343
반가운 살인자,618344.1436073767
집 나온 남자들,457675.14696537534
베스트셀러,1015438.9789176943
작은 연못,651076.4753452217
경,120884.49326767099
대한민국 1%,877985.1152346866
포화 속으로,2762325.7318980554
나쁜 놈이 더 잘 잔다,83985.76153440557
맨발의 꿈,1021796.6431411603
요술,463977.1899595552
마법천자문: 대마왕의 부활을 막아라,190475.99463460268
인플루언스,31044.03041151755
미스터 좀비,125008.35748771725
김복남 살인사건의 전말,692012.0021666309
엄지아빠,69302.00785991462
탈주,169223.87269928685
해결사,1627718.2083057323
할,13736.292574977871
된장,940881.2434972398
조금만 더 가까이,252049.44624559247
우리 만난 적 있나요,215999.15653993594
쩨쩨한 로맨스,1632972.0441830333
용서,139423.92404050182
브라보! 재즈 라이프,204536.28225127046
카페 느와르,1391470.8731144539
오래된 인력거,39110.08160686875
창피해,157757.23971889247
"양 한 마리, 양 두 마리",158174.59273990814
하얀 정글,47121.380314662994
다슬이,64446.63754418341
REC 알이씨,-84561.94294562587
량강도 아이들,205819.33584229194
티끌모아 로맨스,285459.2420109009
더 킥,194905.23325750566
커플즈,641064.6064169205
오늘,737235.0957573658
완득이,1033213.7498202613
은어,126550.19539609784
고래를 찾는 자전거,232690.26452425576
도가니,665953.8111371209
겨울냄새,193762.80940310055
환타스틱 모던가야그머,221381.80940310055
블라인드,1013632.0963945687
링크,206645.6070525618
퀵,1633596.8026118728
모비딕,896473.8341037156
굿바이 보이,372322.39141852706
종로의 기적,389812.80426742235
회초리,970476.6570418772
체포왕,1943025.8700565754
세상에서 가장 아름다운 이별,3017236.089387007
나는 아빠다,827526.8217667582
수상한 고객들,1749683.4858728012
수상한 이웃들,252642.8350748918
돌아오는 길,107766.58058090448
우리 이웃의 범죄,346141.1039508564
엄마는 창녀다,47200.35985246947
위험한 상견례,2090429.9409600862
간증,157382.902565439
"사랑한다, 사랑하지 않는다",529366.3101827438
"혜화, 동",331830.7182063251
글러브,2425203.1502871877
가문의 귀환,1154578.6048056302
잔혹한 앵글의 로망스,-75739.020694551
나의 PS 파트너,982836.1545132031
롤플레이,181014.9302175919
마티나,30358.65600126058
음치 클리닉,1505543.0938661352
남영동1985,275117.21050644194
돈 크라이 마미,268533.9021892625
반드시 크게 들을 것 2 : Wild Days,43951.63546673851
범죄소년,292029.16474192747
내가 살인범이다,1889612.5813082897
터치,168769.94467948333
늑대소년,2710882.974201012
맥코리아,-8596.107173114151
용의자X,1392641.9874667816
하나안,18029.486284479815
투 올드 힙합 키드,99088.8659775232
한경직,38371.276972241736
미운오리새끼,287297.2343280616
황제펭귄 펭이와 솜이,102965.10789042297
두 개의 문,143292.33793775766
I AM,698301.2520036099
후궁 : 제왕의 첩,2051778.7210179965
"안녕, 하세요!",97964.51103190992
천국의 아이들,168748.54121467582
할머니는 일학년,128230.43332318222
두레소리,196349.51569120985
"봄, 눈",336284.49996858416
은교,979702.1529403127
간기남,1616939.424996652
시체가 돌아왔다,1131662.3418380294
말하는 건축가,58950.663569767225
밀월도 가는 길,87058.0169363616
파파,1237517.0300756393
점박이:한반도의 공룡3D,269239.8025289306
댄싱퀸,2881602.467575427
누구의 딸도 아닌 해원,36979.73024873986
신세계,2376419.043149457
굿바이 홈런,-8598.075512338559
불륜의 시대,65559.1840592531
남쪽으로 튀어,1479347.5442091364
좋은 친구들,1737767.4478735432
지슬 - 끝나지 않은 세월 2,196390.44225043888
누구나 제 명에 죽고 싶다,49086.317073149956
사이코메트리,747636.7649878099
환상속의 그대,215889.8746173747
몽타주,1124459.3252747648
"힘내세요, 병헌씨",155063.40414560665
꼭두각시,93527.41512011323
홀리,158485.6900526851
마이 라띠마,546428.7851516107
더 테러 라이브,1191733.7099964009
슈퍼피쉬 - 끝없는 여정,-10886.735553916524
콩가네,378852.4389754133
허풍,109803.94499327913
젊은 엄마,32820.4340592531
노라노,42907.68273636308
노브레싱,939892.046263077
말하는 건축 시티:홀,127628.88688968001
댄서김의 은밀한 교수법,-84356.45670115731
소원,934083.179514687
고양이 소녀,-3114.9012789591993
롤플레이 2 : 동침,-73620.70065197062
동창생,2613189.1538973465
용의자,3554786.817158749
미녀전쟁,4086.805728267393
캐치미,1260923.9724015808
그 강아지 그 고양이,257309.82060884227
화려한 외출,-43520.63961122868
오하이오 삿포로,-173222.7838456719
마이 리틀 히어로,3030961.9293624316
박수건달,3539735.152316076
배꼽,246350.63899101215
나가요 미스콜,108623.36352255598
우아한 거짓말,1238913.8048911754
미스터 컴퍼니,22389.325992942904
우리별 일호와 얼룩소,80093.40931450746
찌라시: 위험한 소문,2257961.2073436766
조선미녀삼총사,2072253.079884949
만찬,499320.50672033266
한 번도 안 해본 여자,167842.65081895926
살인자,147706.71100601702
  이것이 우리의 끝이다,220488.18815647936
그댄 나의 뱀파이어,140362.72726987224
황제를 위하여,1203738.4945277628
레디액션! 폭력영화,114225.51379540279
스퀴시랜드,157282.26021015077
우는 남자,3189125.443745171
하이힐,2153985.078753406
도희야,475975.4758172147
표적,2659417.2137182164
10분,230620.65932726001
메이크 유어 무브,610461.439428994
카토 프로젝트,-80589.49217900522
녀녀녀,59752.45720244484
방황하는 칼날,2076718.4216908428
바리새인,-18988.900956166603
욕망의 독: 중독,49739.915582493086
설계,124092.34310721258
레쓰링,78813.81949032815
원 컷 - 어느 친절한 살인자의 기록,20853.228082493082
픽업 아티스트,267792.97289045766
옹녀뎐,64379.1260820732
왓니껴,797467.648607219
족구왕,508249.708579761
내 연애의 기억,222194.29133707413
바세코의 아이들,-209.47134567189156
명량,5882791.196282213
군도: 민란의 시대,4477899.697023984
산타바바라,397697.47563702514
나는 야한 여자가 좋다,-35730.98260741357
숙희,60056.08651767513
더 테너 리리코 스핀토,1509500.8601129444
기술자들,2546102.946418957
신화 라이브 3D 더 레전드 컨티뉴스,71032.06083701835
악사들,78214.37955354498
울언니,153559.2092742195
정사: 위험한 성적유희,-44691.30035967039
레디액션 청춘,1217515.0605246832
"제자, 옥한흠",103747.7598435898
환상,-30185.4535253786
위층여자,123326.04049999925
가자! 장미여관으로 3 - 방황,100003.47665752319
나는 야한 여자가 좋다 3,-35730.98260741357
스물,2339130.623394703
그라운드의 이방인,164794.28754265202
살인의뢰,1577868.6251059195
살인캠프,59952.27143124611
헬머니,1073839.9988673253
조류인간,299996.57373821957
최강전사 미니특공대 : 새로운 악당의 습격,-38787.63380513778
생각보다 맑은,-5311.283069087081
고양이 장례식,280784.5128953159
